spec	Fold_0
nist_1143359	train
nist_1143377	test
nist_1143422	test
nist_1143449	test
nist_1143466	val
nist_1143483	test
nist_1143505	test
nist_1143524	train
nist_1143556	test
nist_1143599	test
nist_1143620	test
nist_1143674	train
nist_1143721	train
nist_1143812	train
nist_1143919	test
nist_1143942	train
nist_1143962	train
nist_1143986	train
nist_1144025	test
nist_1144104	test
nist_1144159	test
nist_1144226	test
nist_1144292	train
nist_1144304	train
nist_1144309	test
nist_1144347	train
nist_1144369	train
nist_1144389	test
nist_1144406	test
nist_1144420	test
nist_1144447	test
nist_1144511	test
nist_1144531	train
nist_1144583	train
nist_1144601	train
nist_1144620	train
nist_1144642	test
nist_1144659	train
nist_1144681	train
nist_1144705	train
nist_1144725	train
nist_1144748	train
nist_1144768	train
nist_1144784	test
nist_1144801	train
nist_1144819	train
nist_1144840	test
nist_1144854	test
nist_1144867	test
nist_1144895	test
nist_1144906	train
nist_1144923	train
nist_1144939	train
nist_1144957	train
nist_1144963	val
nist_1144987	val
nist_1145006	train
nist_1145063	test
nist_1145077	test
nist_1145109	test
nist_1145119	train
nist_1145138	train
nist_1145149	train
nist_1145181	train
nist_1145204	test
nist_1145216	train
nist_1145237	train
nist_1145260	train
nist_1145281	train
nist_1145327	train
nist_1145330	train
nist_1145344	train
nist_1145362	train
nist_1145392	train
nist_1145465	test
nist_1145595	test
nist_1145613	test
nist_1145666	train
nist_1145687	train
nist_1145739	train
nist_1145752	train
nist_1145785	test
nist_1145811	test
nist_1145851	test
nist_1145880	test
nist_1145893	train
nist_1145907	test
nist_1145928	train
nist_1145942	test
nist_1145962	test
nist_1145996	train
nist_1146019	train
nist_1146075	train
nist_1146087	test
nist_1146129	train
nist_1146158	train
nist_1146198	test
nist_1146205	test
nist_1146226	test
nist_1146249	val
nist_1146271	val
nist_1146293	train
nist_1146324	train
nist_1146356	train
nist_1146376	test
nist_1146395	test
nist_1146414	test
nist_1146435	test
nist_1146454	train
nist_1146476	train
nist_1146501	test
nist_1146525	test
nist_1146547	train
nist_1146581	test
nist_1146603	train
nist_1146619	train
nist_1146640	test
nist_1146656	test
nist_1146678	test
nist_1146699	train
nist_1146709	train
nist_1146723	test
nist_1146752	train
nist_1146769	train
nist_1146800	test
nist_1146817	test
nist_1146829	train
nist_1146853	test
nist_1146865	test
nist_1146870	test
nist_1146887	test
nist_1146925	train
nist_1146958	val
nist_1146978	train
nist_1146997	train
nist_1147017	test
nist_1147022	test
nist_1147058	test
nist_1147076	test
nist_1147092	test
nist_1147111	test
nist_1147132	test
nist_1147166	train
nist_1147217	test
nist_1147237	test
nist_1147247	test
nist_1147266	test
nist_1147288	test
nist_1147305	test
nist_1147313	test
nist_1147348	test
nist_1147388	test
nist_1147409	train
nist_1147431	train
nist_1147440	test
nist_1147457	train
nist_1147468	test
nist_1147474	train
nist_1147485	train
nist_1147519	train
nist_1147560	train
nist_1147563	train
nist_1147588	train
nist_1147600	train
nist_1147614	test
nist_1147653	train
nist_1147685	train
nist_1147759	val
nist_1147798	test
nist_1147818	test
nist_1147836	train
nist_1147844	train
nist_1147852	test
nist_1147869	test
nist_1147885	train
nist_1147907	train
nist_1147930	train
nist_1147948	train
nist_1147964	train
nist_1147982	train
nist_1148002	train
nist_1148026	train
nist_1148057	train
nist_1148076	train
nist_1148108	train
nist_1148158	test
nist_1148190	test
nist_1148215	test
nist_1148259	test
nist_1148307	test
nist_1148330	test
nist_1148333	test
nist_1148402	test
nist_1148449	val
nist_1148513	train
nist_1148605	test
nist_1148643	test
nist_1148674	test
nist_1148706	train
nist_1148727	train
nist_1148842	train
nist_1148913	train
nist_1148940	test
nist_1148968	test
nist_1149011	test
nist_1149037	test
nist_1149062	test
nist_1149086	test
nist_1149107	train
nist_1149151	test
nist_1149170	test
nist_1149189	train
nist_1149209	train
nist_1149238	train
nist_1149271	test
nist_1149293	test
nist_1149316	train
nist_1149327	test
nist_1149347	test
nist_1149371	test
nist_1149381	test
nist_1149402	test
nist_1149417	train
nist_1149438	train
nist_1149459	train
nist_1149495	test
nist_1149559	train
nist_1149586	test
nist_1149628	test
nist_1149647	test
nist_1149700	test
nist_1149724	test
nist_1149841	test
nist_1149867	test
nist_1149887	test
nist_1149892	test
nist_1149908	train
nist_1149931	train
nist_1150092	train
nist_1150116	train
nist_1150131	test
nist_1150146	train
nist_1150168	train
nist_1150179	test
nist_1150200	test
nist_1150215	test
nist_1150243	test
nist_1150262	train
nist_1150289	train
nist_1150303	train
nist_1150324	train
nist_1150344	test
nist_1150364	test
nist_1150383	test
nist_1150395	test
nist_1150420	test
nist_1150458	train
nist_1150502	test
nist_1150518	test
nist_1150533	train
nist_1150564	train
nist_1150579	train
nist_1150626	test
nist_1150642	test
nist_1150702	test
nist_1150719	test
nist_1150726	test
nist_1150754	train
nist_1150768	train
nist_1150778	train
nist_1150799	train
nist_1150807	train
nist_1150822	test
nist_1150844	test
nist_1150855	test
nist_1150881	test
nist_1150902	test
nist_1150915	test
nist_1150943	train
nist_1150964	train
nist_1150984	train
nist_1151005	train
nist_1151026	train
nist_1151045	train
nist_1151056	train
nist_1151093	test
nist_1151114	test
nist_1151134	test
nist_1151167	test
nist_1151188	test
nist_1151204	test
nist_1151237	train
nist_1151260	train
nist_1151278	train
nist_1151325	test
nist_1151345	test
nist_1151359	test
nist_1151376	test
nist_1151387	test
nist_1151435	test
nist_1151449	test
nist_1151457	test
nist_1151489	train
nist_1151503	train
nist_1151508	train
nist_1151562	train
nist_1151574	train
nist_1151591	test
nist_1151609	test
nist_1151634	train
nist_1151652	train
nist_1151670	test
nist_1151690	test
nist_1151715	train
nist_1151737	train
nist_1151752	train
nist_1151787	train
nist_1151811	train
nist_1151843	test
nist_1151860	test
nist_1151875	test
nist_1151967	train
nist_1152004	train
nist_1152056	test
nist_1152093	test
nist_1152146	test
nist_1152182	test
nist_1152233	train
nist_1152264	train
nist_1152314	train
nist_1152346	train
nist_1152359	train
nist_1152374	train
nist_1152384	train
nist_1152408	train
nist_1152423	train
nist_1152442	test
nist_1152538	test
nist_1152555	train
nist_1152573	train
nist_1152597	test
nist_1152638	test
nist_1152648	test
nist_1152673	test
nist_1152691	test
nist_1152708	test
nist_1152720	train
nist_1152743	test
nist_1152759	test
nist_1152783	test
nist_1152806	test
nist_1152818	train
nist_1152823	test
nist_1152845	test
nist_1152861	test
nist_1152867	test
nist_1152896	train
nist_1152912	test
nist_1152934	test
nist_1152943	val
nist_1152962	test
nist_1152982	test
nist_1152987	train
nist_1153008	train
nist_1153014	test
nist_1153026	test
nist_1153032	train
nist_1153062	test
nist_1153082	test
nist_1153092	train
nist_1153110	train
nist_1153119	train
nist_1153138	test
nist_1153165	train
nist_1153193	test
nist_1153329	test
nist_1153422	train
nist_1153446	train
nist_1153488	train
nist_1153521	train
nist_1153536	test
nist_1153559	test
nist_1153586	train
nist_1153595	train
nist_1153606	test
nist_1153644	train
nist_1153668	test
nist_1153681	train
nist_1153694	train
nist_1153701	test
nist_1153713	train
nist_1153731	test
nist_1153751	test
nist_1153781	train
nist_1153817	train
nist_1153831	test
nist_1153877	train
nist_1153899	train
nist_1153949	test
nist_1153977	test
nist_1153994	train
nist_1154031	test
nist_1154119	train
nist_1154148	test
nist_1154174	test
nist_1154197	test
nist_1154255	test
nist_1154281	test
nist_1154390	train
nist_1154434	train
nist_1154461	val
nist_1154471	val
nist_1154509	test
nist_1154570	train
nist_1154592	train
nist_1154629	val
nist_1154685	test
nist_1154723	test
nist_1154751	test
nist_1154780	test
nist_1154812	test
nist_1154851	train
nist_1154873	train
nist_1154904	test
nist_1154936	test
nist_1154999	train
nist_1155022	train
nist_1155047	test
nist_1155063	train
nist_1155087	train
nist_1155107	train
nist_1155129	train
nist_1155157	train
nist_1155179	train
nist_1155214	train
nist_1155238	train
nist_1155259	train
nist_1155292	test
nist_1155314	test
nist_1155343	train
nist_1155365	train
nist_1155430	test
nist_1155457	test
nist_1155468	test
nist_1155477	test
nist_1155504	test
nist_1155522	test
nist_1155549	test
nist_1155575	test
nist_1155604	test
nist_1155619	test
nist_1155644	test
nist_1155702	train
nist_1155733	train
nist_1155751	train
nist_1155782	test
nist_1155805	train
nist_1155820	val
nist_1155835	test
nist_1155851	test
nist_1155879	test
nist_1155901	train
nist_1155923	train
nist_1155940	test
nist_1155958	test
nist_1155969	test
nist_1155985	train
nist_1156005	test
nist_1156021	train
nist_1156039	train
nist_1156068	test
nist_1156095	train
nist_1156112	train
nist_1156129	train
nist_1156146	train
nist_1156165	test
nist_1156179	train
nist_1156196	test
nist_1156216	test
nist_1156240	test
nist_1156257	test
nist_1156275	test
nist_1156302	val
nist_1156316	test
nist_1156333	test
nist_1156350	train
nist_1156378	test
nist_1156396	train
nist_1156414	test
nist_1156432	test
nist_1156451	test
nist_1156482	train
nist_1156510	test
nist_1156527	test
nist_1156543	test
nist_1156562	test
nist_1156584	test
nist_1156600	val
nist_1156620	val
nist_1156652	train
nist_1156668	train
nist_1156685	test
nist_1156721	train
nist_1156770	test
nist_1156793	test
nist_1156798	test
nist_1156826	train
nist_1156844	test
nist_1156883	test
nist_1156895	test
nist_1156922	test
nist_1156950	test
nist_1156972	test
nist_1156995	test
nist_1157012	test
nist_1157029	train
nist_1157046	train
nist_1157078	test
nist_1157096	test
nist_1157113	test
nist_1157133	train
nist_1157165	test
nist_1157201	train
nist_1157241	test
nist_1157258	train
nist_1157280	test
nist_1157306	train
nist_1157325	train
nist_1157344	train
nist_1157369	test
nist_1157387	test
nist_1157409	val
nist_1157431	test
nist_1157451	test
nist_1157472	test
nist_1157484	test
nist_1157505	train
nist_1157530	test
nist_1157541	test
nist_1157551	test
nist_1157564	test
nist_1157598	train
nist_1157617	test
nist_1157636	test
nist_1157657	train
nist_1157674	test
nist_1157692	test
nist_1157740	test
nist_1157759	train
nist_1157777	train
nist_1157792	test
nist_1157816	test
nist_1157839	test
nist_1157860	test
nist_1157892	train
nist_1157932	test
nist_1157957	test
nist_1157997	train
nist_1158044	train
nist_1158064	train
nist_1158094	test
nist_1158120	test
nist_1158131	train
nist_1158154	train
nist_1158170	test
nist_1158193	train
nist_1158210	test
nist_1158243	train
nist_1158287	test
nist_1158307	test
nist_1158324	test
nist_1158343	train
nist_1158363	test
nist_1158382	train
nist_1158404	train
nist_1158425	train
nist_1158446	test
nist_1158469	test
nist_1158493	test
nist_1158531	test
nist_1158560	test
nist_1158591	test
nist_1158611	test
nist_1158638	val
nist_1158662	test
nist_1158701	train
nist_1158733	train
nist_1158749	test
nist_1158779	train
nist_1158812	test
nist_1158830	test
nist_1158836	test
nist_1158856	test
nist_1158888	train
nist_1158916	train
nist_1158940	test
nist_1158963	train
nist_1158979	test
nist_1159008	test
nist_1159034	test
nist_1159056	test
nist_1159076	test
nist_1159146	test
nist_1159160	test
nist_1159186	test
nist_1159209	test
nist_1159243	test
nist_1159281	test
nist_1159297	train
nist_1159322	test
nist_1159336	val
nist_1159347	test
nist_1159381	train
nist_1159398	test
nist_1159409	test
nist_1159438	train
nist_1159458	test
nist_1159493	test
nist_1159545	train
nist_1159593	train
nist_1159596	train
nist_1159678	train
nist_1159682	train
nist_1159762	val
nist_1159856	train
nist_1159913	train
nist_1159970	train
nist_1159990	train
nist_1160037	test
nist_1160088	train
nist_1160154	train
nist_1160233	train
nist_1160253	train
nist_1160341	test
nist_1160360	test
nist_1160443	train
nist_1160521	test
nist_1160562	train
nist_1160671	test
nist_1160688	test
nist_1160716	test
nist_1160737	test
nist_1160831	val
nist_1160849	val
nist_1160925	test
nist_1160945	test
nist_1161009	test
nist_1161026	test
nist_1161097	test
nist_1161101	test
nist_1161202	test
nist_1161223	test
nist_1161292	test
nist_1161313	test
nist_1161392	train
nist_1161413	train
nist_1161608	train
nist_1161644	train
nist_1161698	test
nist_1161737	test
nist_1161761	train
nist_1161821	train
nist_1161874	test
nist_1161899	train
nist_1161929	test
nist_1161989	train
nist_1162031	train
nist_1162090	test
nist_1162106	test
nist_1162121	test
nist_1162202	train
nist_1162242	train
nist_1162262	train
nist_1162293	test
nist_1162310	test
nist_1162344	test
nist_1162362	test
nist_1162461	test
nist_1162501	test
nist_1162533	test
nist_1162594	train
nist_1162609	train
nist_1162620	train
nist_1162644	test
nist_1162655	train
nist_1162689	train
nist_1162710	train
nist_1162770	train
nist_1162791	train
nist_1162814	test
nist_1162839	test
nist_1162864	train
nist_1162878	train
nist_1162896	train
nist_1162922	train
nist_1162938	train
nist_1162992	test
nist_1163015	test
nist_1163060	train
nist_1163086	train
nist_1163097	train
nist_1163132	train
nist_1163154	test
nist_1163172	train
nist_1163234	train
nist_1163290	val
nist_1163322	val
nist_1163334	test
nist_1163353	train
nist_1163371	train
nist_1163390	test
nist_1163408	test
nist_1163428	test
nist_1163445	train
nist_1163466	train
nist_1163491	test
nist_1163530	train
nist_1163551	train
nist_1163567	train
nist_1163587	train
nist_1163617	test
nist_1163639	train
nist_1163699	train
nist_1163715	train
nist_1163730	train
nist_1163765	train
nist_1163786	train
nist_1163808	train
nist_1163867	test
nist_1164015	train
nist_1164037	train
nist_1164060	train
nist_1164133	train
nist_1164173	train
nist_1164250	test
nist_1164269	test
nist_1164508	train
nist_1164568	test
nist_1164600	test
nist_1164619	val
nist_1164640	val
nist_1164660	train
nist_1164693	train
nist_1164712	test
nist_1164733	test
nist_1164810	train
nist_1164868	train
nist_1164918	test
nist_1164978	test
nist_1164999	test
nist_1165005	test
nist_1165043	test
nist_1165072	test
nist_1165110	test
nist_1165132	val
nist_1165154	val
nist_1165173	test
nist_1165194	test
nist_1165211	test
nist_1165236	test
nist_1165257	train
nist_1165275	train
nist_1165293	train
nist_1165309	train
nist_1165447	train
nist_1165469	train
nist_1165535	test
nist_1165562	train
nist_1165587	val
nist_1165603	test
nist_1165665	val
nist_1165688	train
nist_1165698	train
nist_1165716	test
nist_1165732	test
nist_1165748	train
nist_1165762	train
nist_1165814	train
nist_1165847	train
nist_1165944	train
nist_1165966	train
nist_1165990	train
nist_1166084	train
nist_1166097	train
nist_1166112	test
nist_1166155	train
nist_1166191	test
nist_1166210	train
nist_1166270	test
nist_1166286	train
nist_1166342	train
nist_1166356	test
nist_1166371	train
nist_1166390	train
nist_1166408	test
nist_1166458	train
nist_1166477	train
nist_1166517	test
nist_1166536	test
nist_1166558	test
nist_1166576	test
nist_1166585	test
nist_1166608	test
nist_1166639	test
nist_1166676	train
nist_1166699	test
nist_1166720	test
nist_1166733	train
nist_1166778	train
nist_1166813	train
nist_1166835	train
nist_1166864	train
nist_1166871	val
nist_1166891	val
nist_1166910	test
nist_1166925	test
nist_1166936	test
nist_1166958	test
nist_1166965	train
nist_1166991	test
nist_1167010	test
nist_1167045	test
nist_1167080	train
nist_1167108	train
nist_1167122	train
nist_1167142	test
nist_1167165	test
nist_1167199	test
nist_1167292	train
nist_1167306	train
nist_1167323	test
nist_1167407	test
nist_1167426	test
nist_1167444	test
nist_1167466	test
nist_1167469	test
nist_1167489	test
nist_1167510	test
nist_1167532	test
nist_1167551	test
nist_1167591	test
nist_1167612	test
nist_1167631	train
nist_1167682	train
nist_1167701	test
nist_1167737	test
nist_1167754	test
nist_1167815	test
nist_1167837	test
nist_1167854	train
nist_1167875	train
nist_1167892	test
nist_1167938	test
nist_1168017	val
nist_1168066	train
nist_1168080	train
nist_1168106	test
nist_1168126	test
nist_1168147	train
nist_1168176	train
nist_1168198	train
nist_1168245	test
nist_1168281	train
nist_1168294	train
nist_1168320	train
nist_1168328	test
nist_1168348	test
nist_1168368	val
nist_1168390	val
nist_1168437	val
nist_1168464	train
nist_1168487	train
nist_1168509	train
nist_1168540	train
nist_1168555	train
nist_1168585	train
nist_1168606	train
nist_1168632	train
nist_1168654	train
nist_1168668	train
nist_1168693	train
nist_1168726	train
nist_1168786	test
nist_1168850	test
nist_1168919	train
nist_1168938	train
nist_1168957	train
nist_1169054	train
nist_1169099	test
nist_1169122	test
nist_1169145	test
nist_1169299	train
nist_1169323	test
nist_1169350	test
nist_1169403	train
nist_1169423	train
nist_1169445	train
nist_1169470	train
nist_1169507	train
nist_1169531	train
nist_1169551	train
nist_1169579	test
nist_1169598	test
nist_1169617	train
nist_1169635	train
nist_1169677	train
nist_1169695	train
nist_1169703	train
nist_1169720	train
nist_1169748	test
nist_1169802	test
nist_1169816	test
nist_1169838	train
nist_1169858	train
nist_1169894	train
nist_1169933	train
nist_1169965	train
nist_1169986	train
nist_1170005	train
nist_1170008	test
nist_1170028	test
nist_1170047	test
nist_1170071	test
nist_1170091	test
nist_1170114	test
nist_1170149	test
nist_1170162	train
nist_1170185	train
nist_1170221	test
nist_1170306	test
nist_1170377	train
nist_1170398	train
nist_1170420	test
nist_1170473	train
nist_1170517	test
nist_1170614	test
nist_1170663	test
nist_1170702	test
nist_1170783	test
nist_1170804	test
nist_1170820	train
nist_1170827	train
nist_1170854	test
nist_1170869	test
nist_1170901	test
nist_1170967	train
nist_1171001	train
nist_1171064	val
nist_1171109	train
nist_1171136	train
nist_1171207	train
nist_1171280	train
nist_1171301	train
nist_1171317	test
nist_1171349	test
nist_1171369	test
nist_1171389	test
nist_1171423	val
nist_1171445	val
nist_1171553	train
nist_1171575	train
nist_1171700	train
nist_1171781	train
nist_1171805	train
nist_1171824	train
nist_1171844	train
nist_1171866	test
nist_1171889	test
nist_1171908	test
nist_1171943	test
nist_1171964	test
nist_1171985	train
nist_1172122	test
nist_1172153	train
nist_1172403	test
nist_1172836	test
nist_1172852	test
nist_1172871	test
nist_1172931	train
nist_1173052	test
nist_1173076	test
nist_1173096	test
nist_1173216	train
nist_1173234	train
nist_1173308	train
nist_1173342	train
nist_1173403	train
nist_1173463	train
nist_1173481	train
nist_1173508	train
nist_1173527	train
nist_1173583	train
nist_1173683	test
nist_1173717	train
nist_1173764	train
nist_1173786	train
nist_1173805	test
nist_1173847	test
nist_1173869	test
nist_1173888	test
nist_1173949	train
nist_1173982	train
nist_1174047	train
nist_1174054	train
nist_1174064	test
nist_1174075	test
nist_1174091	train
nist_1174107	val
nist_1174137	test
nist_1174217	test
nist_1174234	test
nist_1174252	test
nist_1174302	val
nist_1174345	test
nist_1174366	test
nist_1174386	test
nist_1174394	test
nist_1174406	test
nist_1174423	test
nist_1174431	train
nist_1174452	train
nist_1174464	train
nist_1174478	train
nist_1174538	train
nist_1174594	train
nist_1174656	test
nist_1174672	test
nist_1174703	test
nist_1174798	train
nist_1174804	train
nist_1174884	test
nist_1174903	test
nist_1174927	train
nist_1174949	train
nist_1174969	train
nist_1174988	test
nist_1175005	test
nist_1175024	test
nist_1175044	train
nist_1175060	test
nist_1175100	test
nist_1175114	test
nist_1175155	test
nist_1175164	test
nist_1175186	test
nist_1175204	test
nist_1175207	test
nist_1175239	train
nist_1175261	train
nist_1175281	train
nist_1175344	test
nist_1175362	test
nist_1175396	test
nist_1175444	test
nist_1175504	test
nist_1175538	test
nist_1175578	test
nist_1175619	val
nist_1175639	val
nist_1175658	train
nist_1175673	val
nist_1175687	val
nist_1175693	test
nist_1175711	train
nist_1175723	test
nist_1175743	test
nist_1175756	val
nist_1175775	test
nist_1175858	test
nist_1175865	test
nist_1175885	test
nist_1175906	test
nist_1175921	train
nist_1175938	train
nist_1175954	train
nist_1175979	test
nist_1175995	test
nist_1176000	test
nist_1176016	train
